Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-06T00:00+02:00;2021-09-07T00:00+02:00;06.09.2021;Totalt i retning Planetariet;2348
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-06T00:00+02:00;2021-09-07T00:00+02:00;06.09.2021;Totalt i retning UNN;2445
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-06T00:00+02:00;2021-09-07T00:00+02:00;06.09.2021;Totalt;4793
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-07T00:00+02:00;2021-09-08T00:00+02:00;07.09.2021;1;2426
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-07T00:00+02:00;2021-09-08T00:00+02:00;07.09.2021;2;2520
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-07T00:00+02:00;2021-09-08T00:00+02:00;07.09.2021;Totalt i retning Planetariet;2419
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-07T00:00+02:00;2021-09-08T00:00+02:00;07.09.2021;Totalt i retning UNN;2527
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-07T00:00+02:00;2021-09-08T00:00+02:00;07.09.2021;Totalt;4946
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-08T00:00+02:00;2021-09-09T00:00+02:00;08.09.2021;1;2428
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-08T00:00+02:00;2021-09-09T00:00+02:00;08.09.2021;2;2480
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-08T00:00+02:00;2021-09-09T00:00+02:00;08.09.2021;Totalt i retning Planetariet;2427
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-08T00:00+02:00;2021-09-09T00:00+02:00;08.09.2021;Totalt i retning UNN;2481
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-08T00:00+02:00;2021-09-09T00:00+02:00;08.09.2021;Totalt;4908
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-09T00:00+02:00;2021-09-10T00:00+02:00;09.09.2021;1;2406
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-09T00:00+02:00;2021-09-10T00:00+02:00;09.09.2021;2;2478
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-09T00:00+02:00;2021-09-10T00:00+02:00;09.09.2021;Totalt i retning Planetariet;2403
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-09T00:00+02:00;2021-09-10T00:00+02:00;09.09.2021;Totalt i retning UNN;2481
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-09T00:00+02:00;2021-09-10T00:00+02:00;09.09.2021;Totalt;4884
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-10T00:00+02:00;2021-09-11T00:00+02:00;10.09.2021;1;2241
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-10T00:00+02:00;2021-09-11T00:00+02:00;10.09.2021;2;2244
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-10T00:00+02:00;2021-09-11T00:00+02:00;10.09.2021;Totalt i retning Planetariet;2241
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-10T00:00+02:00;2021-09-11T00:00+02:00;10.09.2021;Totalt i retning UNN;2244
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-10T00:00+02:00;2021-09-11T00:00+02:00;10.09.2021;Totalt;4485
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-11T00:00+02:00;2021-09-12T00:00+02:00;11.09.2021;1;580
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-11T00:00+02:00;2021-09-12T00:00+02:00;11.09.2021;2;589
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-11T00:00+02:00;2021-09-12T00:00+02:00;11.09.2021;Totalt i retning Planetariet;580
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-11T00:00+02:00;2021-09-12T00:00+02:00;11.09.2021;Totalt i retning UNN;589
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-11T00:00+02:00;2021-09-12T00:00+02:00;11.09.2021;Totalt;1169
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-12T00:00+02:00;2021-09-13T00:00+02:00;12.09.2021;1;535
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-12T00:00+02:00;2021-09-13T00:00+02:00;12.09.2021;2;509
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-12T00:00+02:00;2021-09-13T00:00+02:00;12.09.2021;Totalt i retning Planetariet;535
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-12T00:00+02:00;2021-09-13T00:00+02:00;12.09.2021;Totalt i retning UNN;509
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-12T00:00+02:00;2021-09-13T00:00+02:00;12.09.2021;Totalt;1044
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-13T00:00+02:00;2021-09-14T00:00+02:00;13.09.2021;1;2359
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-13T00:00+02:00;2021-09-14T00:00+02:00;13.09.2021;2;2274
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-13T00:00+02:00;2021-09-14T00:00+02:00;13.09.2021;Totalt i retning Planetariet;2358
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-13T00:00+02:00;2021-09-14T00:00+02:00;13.09.2021;Totalt i retning UNN;2275
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-13T00:00+02:00;2021-09-14T00:00+02:00;13.09.2021;Totalt;4633
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-14T00:00+02:00;2021-09-15T00:00+02:00;14.09.2021;1;2390
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-14T00:00+02:00;2021-09-15T00:00+02:00;14.09.2021;2;2340
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2021-09-14T00:00+02:00;2021-09-15T00:00+02:00;14.09.2021;Totalt i retning Planetariet;2383
