Navn;Vegreferanse;Fra;Til;Dato;Trafikkmengde
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-21T00:00+01:00;2023-01-22T00:00+01:00;21.01.2023;502
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-21T00:00+01:00;2023-01-22T00:00+01:00;21.01.2023;536
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-21T00:00+01:00;2023-01-22T00:00+01:00;21.01.2023;502
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-21T00:00+01:00;2023-01-22T00:00+01:00;21.01.2023;536
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-21T00:00+01:00;2023-01-22T00:00+01:00;21.01.2023;1038
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-22T00:00+01:00;2023-01-23T00:00+01:00;22.01.2023;504
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-22T00:00+01:00;2023-01-23T00:00+01:00;22.01.2023;501
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-22T00:00+01:00;2023-01-23T00:00+01:00;22.01.2023;503
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-22T00:00+01:00;2023-01-23T00:00+01:00;22.01.2023;502
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-22T00:00+01:00;2023-01-23T00:00+01:00;22.01.2023;1005
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-23T00:00+01:00;2023-01-24T00:00+01:00;23.01.2023;1964
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-23T00:00+01:00;2023-01-24T00:00+01:00;23.01.2023;2095
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-23T00:00+01:00;2023-01-24T00:00+01:00;23.01.2023;1964
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-23T00:00+01:00;2023-01-24T00:00+01:00;23.01.2023;2095
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-23T00:00+01:00;2023-01-24T00:00+01:00;23.01.2023;4059
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-24T00:00+01:00;2023-01-25T00:00+01:00;24.01.2023;1936
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-24T00:00+01:00;2023-01-25T00:00+01:00;24.01.2023;2098
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-24T00:00+01:00;2023-01-25T00:00+01:00;24.01.2023;1934
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-24T00:00+01:00;2023-01-25T00:00+01:00;24.01.2023;2100
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-24T00:00+01:00;2023-01-25T00:00+01:00;24.01.2023;4034
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-25T00:00+01:00;2023-01-26T00:00+01:00;25.01.2023;1893
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-25T00:00+01:00;2023-01-26T00:00+01:00;25.01.2023;2042
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-25T00:00+01:00;2023-01-26T00:00+01:00;25.01.2023;1892
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-25T00:00+01:00;2023-01-26T00:00+01:00;25.01.2023;2043
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-25T00:00+01:00;2023-01-26T00:00+01:00;25.01.2023;3935
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-26T00:00+01:00;2023-01-27T00:00+01:00;26.01.2023;1863
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-26T00:00+01:00;2023-01-27T00:00+01:00;26.01.2023;1996
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-26T00:00+01:00;2023-01-27T00:00+01:00;26.01.2023;1864
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-26T00:00+01:00;2023-01-27T00:00+01:00;26.01.2023;1995
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-26T00:00+01:00;2023-01-27T00:00+01:00;26.01.2023;3859
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-27T00:00+01:00;2023-01-28T00:00+01:00;27.01.2023;1726
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-27T00:00+01:00;2023-01-28T00:00+01:00;27.01.2023;1894
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-27T00:00+01:00;2023-01-28T00:00+01:00;27.01.2023;1723
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-27T00:00+01:00;2023-01-28T00:00+01:00;27.01.2023;1897
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-27T00:00+01:00;2023-01-28T00:00+01:00;27.01.2023;3620
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-28T00:00+01:00;2023-01-29T00:00+01:00;28.01.2023;622
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-28T00:00+01:00;2023-01-29T00:00+01:00;28.01.2023;629
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-28T00:00+01:00;2023-01-29T00:00+01:00;28.01.2023;622
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-28T00:00+01:00;2023-01-29T00:00+01:00;28.01.2023;629
Hansine Hansens veg;KV12650 S2D1 m20;2023-01-28T00:00+01:00;2023-01-29T00:00+01:00;28.01.2023;1251
